"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","PPP","TOT","NATUSD","A","1991",9.282163,
"SWE","PPP","TOT","NATUSD","A","1992",9.16749,
"SWE","PPP","TOT","NATUSD","A","1993",9.153334,
"SWE","PPP","TOT","NATUSD","A","1994",9.193898,
"SWE","PPP","TOT","NATUSD","A","1995",9.348289,
"SWE","PPP","TOT","NATUSD","A","1996",9.24564,
"SWE","PPP","TOT","NATUSD","A","1997",9.329592,
"SWE","PPP","TOT","NATUSD","A","1998",9.395464,
"SWE","PPP","TOT","NATUSD","A","1999",9.3059,
"SWE","PPP","TOT","NATUSD","A","2000",9.162997,
"SWE","PPP","TOT","NATUSD","A","2001",9.402744,
"SWE","PPP","TOT","NATUSD","A","2002",9.413655,
"SWE","PPP","TOT","NATUSD","A","2003",9.485573,
"SWE","PPP","TOT","NATUSD","A","2004",9.294254,
"SWE","PPP","TOT","NATUSD","A","2005",9.479182,
"SWE","PPP","TOT","NATUSD","A","2006",9.112788,
"SWE","PPP","TOT","NATUSD","A","2007",8.871924,
"SWE","PPP","TOT","NATUSD","A","2008",8.778986,
"SWE","PPP","TOT","NATUSD","A","2009",8.920261,
"SWE","PPP","TOT","NATUSD","A","2010",9.024752,
"SWE","PPP","TOT","NATUSD","A","2011",8.844042,
"SWE","PPP","TOT","NATUSD","A","2012",8.654768,
"SWE","PPP","TOT","NATUSD","A","2013",8.597681,
"SWE","PPP","TOT","NATUSD","A","2014",8.727131,
"SWE","PPP","TOT","NATUSD","A","2015",8.854383,
"SWE","PPP","TOT","NATUSD","A","2016",8.822586,
"SWE","PPP","TOT","NATUSD","A","2017",8.852247,
"SWE","PPP","TOT","NATUSD","A","2018",8.865881,
"SWE","PPP","TOT","NATUSD","A","2019",8.709683,
"SWE","PPP","TOT","NATUSD","A","2020",8.669319,
"SWE","PPP","TOT","NATUSD","A","2021",8.723754,
"CHE","PPP","TOT","NATUSD","A","1960",2.189697,
"CHE","PPP","TOT","NATUSD","A","1961",2.25672,
"CHE","PPP","TOT","NATUSD","A","1962",2.334714,
"CHE","PPP","TOT","NATUSD","A","1963",2.412528,
"CHE","PPP","TOT","NATUSD","A","1964",2.495978,
"CHE","PPP","TOT","NATUSD","A","1965",2.520322,
"CHE","PPP","TOT","NATUSD","A","1966",2.552365,
"CHE","PPP","TOT","NATUSD","A","1967",2.591622,
"CHE","PPP","TOT","NATUSD","A","1968",2.547597,
"CHE","PPP","TOT","NATUSD","A","1969",2.484646,
"CHE","PPP","TOT","NATUSD","A","1970",2.365944,
"CHE","PPP","TOT","NATUSD","A","1971",2.457861,
"CHE","PPP","TOT","NATUSD","A","1972",2.586952,
"CHE","PPP","TOT","NATUSD","A","1973",2.652204,
"CHE","PPP","TOT","NATUSD","A","1974",2.601931,
"CHE","PPP","TOT","NATUSD","A","1975",2.551216,
"CHE","PPP","TOT","NATUSD","A","1976",2.484148,
"CHE","PPP","TOT","NATUSD","A","1977",2.344863,
"CHE","PPP","TOT","NATUSD","A","1978",2.269915,
"CHE","PPP","TOT","NATUSD","A","1979",2.137694,
"CHE","PPP","TOT","NATUSD","A","1980",2.01366,
"CHE","PPP","TOT","NATUSD","A","1981",1.943736,
"CHE","PPP","TOT","NATUSD","A","1982",1.96515,
"CHE","PPP","TOT","NATUSD","A","1983",1.93584,
"CHE","PPP","TOT","NATUSD","A","1984",1.938679,
"CHE","PPP","TOT","NATUSD","A","1985",1.921921,
"CHE","PPP","TOT","NATUSD","A","1986",1.941151,
"CHE","PPP","TOT","NATUSD","A","1987",1.93586,
"CHE","PPP","TOT","NATUSD","A","1988",1.922075,
"CHE","PPP","TOT","NATUSD","A","1989",1.913532,
"CHE","PPP","TOT","NATUSD","A","1990",1.931507,
"CHE","PPP","TOT","NATUSD","A","1991",1.969384,
"CHE","PPP","TOT","NATUSD","A","1992",1.966413,
"CHE","PPP","TOT","NATUSD","A","1993",1.965485,
"CHE","PPP","TOT","NATUSD","A","1994",1.947184,
"CHE","PPP","TOT","NATUSD","A","1995",1.921262,
"CHE","PPP","TOT","NATUSD","A","1996",1.886497,
"CHE","PPP","TOT","NATUSD","A","1997",1.843654,
"CHE","PPP","TOT","NATUSD","A","1998",1.827506,
"CHE","PPP","TOT","NATUSD","A","1999",1.802836,
"CHE","PPP","TOT","NATUSD","A","2000",1.788642,
"CHE","PPP","TOT","NATUSD","A","2001",1.768866,
"CHE","PPP","TOT","NATUSD","A","2002",1.70976,
"CHE","PPP","TOT","NATUSD","A","2003",1.715174,
"CHE","PPP","TOT","NATUSD","A","2004",1.691797,
"CHE","PPP","TOT","NATUSD","A","2005",1.686548,
"CHE","PPP","TOT","NATUSD","A","2006",1.59908,
"CHE","PPP","TOT","NATUSD","A","2007",1.531962,
"CHE","PPP","TOT","NATUSD","A","2008",1.493049,
"CHE","PPP","TOT","NATUSD","A","2009",1.469983,
"CHE","PPP","TOT","NATUSD","A","2010",1.466083,
"CHE","PPP","TOT","NATUSD","A","2011",1.397498,
"CHE","PPP","TOT","NATUSD","A","2012",1.354072,
"CHE","PPP","TOT","NATUSD","A","2013",1.312477,
"CHE","PPP","TOT","NATUSD","A","2014",1.281761,
"CHE","PPP","TOT","NATUSD","A","2015",1.235788,
"CHE","PPP","TOT","NATUSD","A","2016",1.201964,
"CHE","PPP","TOT","NATUSD","A","2017",1.187726,
"CHE","PPP","TOT","NATUSD","A","2018",1.178866,
"CHE","PPP","TOT","NATUSD","A","2019",1.150408,
"CHE","PPP","TOT","NATUSD","A","2020",1.135779,
"CHE","PPP","TOT","NATUSD","A","2021",1.106708,
"TUR","PPP","TOT","NATUSD","A","1960",0.000004,
"TUR","PPP","TOT","NATUSD","A","1961",0.000005,
"TUR","PPP","TOT","NATUSD","A","1962",0.000005,
"TUR","PPP","TOT","NATUSD","A","1963",0.000005,
"TUR","PPP","TOT","NATUSD","A","1964",0.000005,
"TUR","PPP","TOT","NATUSD","A","1965",0.000005,
"TUR","PPP","TOT","NATUSD","A","1966",0.000005,
"TUR","PPP","TOT","NATUSD","A","1967",0.000006,
"TUR","PPP","TOT","NATUSD","A","1968",0.000006,
"TUR","PPP","TOT","NATUSD","A","1969",0.000006,
"TUR","PPP","TOT","NATUSD","A","1970",0.000005,
"TUR","PPP","TOT","NATUSD","A","1971",0.000005,
"TUR","PPP","TOT","NATUSD","A","1972",0.000005,
"TUR","PPP","TOT","NATUSD","A","1973",0.000006,
"TUR","PPP","TOT","NATUSD","A","1974",0.000007,
"TUR","PPP","TOT","NATUSD","A","1975",0.000008,
"TUR","PPP","TOT","NATUSD","A","1976",0.000009,
"TUR","PPP","TOT","NATUSD","A","1977",0.00001,
"TUR","PPP","TOT","NATUSD","A","1978",0.000014,
"TUR","PPP","TOT","NATUSD","A","1979",0.000023,
"TUR","PPP","TOT","NATUSD","A","1980",0.000039,
"TUR","PPP","TOT","NATUSD","A","1981",0.000052,
"TUR","PPP","TOT","NATUSD","A","1982",0.000063,
"TUR","PPP","TOT","NATUSD","A","1983",0.000076,
"TUR","PPP","TOT","NATUSD","A","1984",0.000109,
"TUR","PPP","TOT","NATUSD","A","1985",0.000162,
"TUR","PPP","TOT","NATUSD","A","1986",0.000216,
"TUR","PPP","TOT","NATUSD","A","1987",0.000281,
"TUR","PPP","TOT","NATUSD","A","1988",0.00046,
"TUR","PPP","TOT","NATUSD","A","1989",0.000777,
"TUR","PPP","TOT","NATUSD","A","1990",0.001185,
"TUR","PPP","TOT","NATUSD","A","1991",0.00182,
"TUR","PPP","TOT","NATUSD","A","1992",0.002914,
"TUR","PPP","TOT","NATUSD","A","1993",0.004775,
"TUR","PPP","TOT","NATUSD","A","1994",0.009652,
"TUR","PPP","TOT","NATUSD","A","1995",0.017698,
"TUR","PPP","TOT","NATUSD","A","1996",0.030965,
"TUR","PPP","TOT","NATUSD","A","1997",0.055364,
"TUR","PPP","TOT","NATUSD","A","1998",0.128866,
"TUR","PPP","TOT","NATUSD","A","1999",0.196465,
"TUR","PPP","TOT","NATUSD","A","2000",0.281592,
"TUR","PPP","TOT","NATUSD","A","2001",0.415006,
"TUR","PPP","TOT","NATUSD","A","2002",0.591251,
"TUR","PPP","TOT","NATUSD","A","2003",0.736515,
"TUR","PPP","TOT","NATUSD","A","2004",0.792168,
"TUR","PPP","TOT","NATUSD","A","2005",0.834589,
"TUR","PPP","TOT","NATUSD","A","2006",0.841928,
"TUR","PPP","TOT","NATUSD","A","2007",0.851215,
"TUR","PPP","TOT","NATUSD","A","2008",0.87996,
"TUR","PPP","TOT","NATUSD","A","2009",0.90458,
"TUR","PPP","TOT","NATUSD","A","2010",0.920323,
"TUR","PPP","TOT","NATUSD","A","2011",0.966176,
"TUR","PPP","TOT","NATUSD","A","2012",1.019856,
"TUR","PPP","TOT","NATUSD","A","2013",1.070294,
"TUR","PPP","TOT","NATUSD","A","2014",1.104504,
"TUR","PPP","TOT","NATUSD","A","2015",1.162452,
"TUR","PPP","TOT","NATUSD","A","2016",1.241052,
"TUR","PPP","TOT","NATUSD","A","2017",1.38398,
"TUR","PPP","TOT","NATUSD","A","2018",1.63261,
"TUR","PPP","TOT","NATUSD","A","2019",1.86402,
"TUR","PPP","TOT","NATUSD","A","2020",2.164408,
"TUR","PPP","TOT","NATUSD","A","2021",2.80859,
"GBR","PPP","TOT","NATUSD","A","1960",0.228426,
"GBR","PPP","TOT","NATUSD","A","1961",0.233865,
"GBR","PPP","TOT","NATUSD","A","1962",0.237129,
"GBR","PPP","TOT","NATUSD","A","1963",0.238316,
"GBR","PPP","TOT","NATUSD","A","1964",0.24361,
"GBR","PPP","TOT","NATUSD","A","1965",0.248356,
"GBR","PPP","TOT","NATUSD","A","1966",0.250347,
"GBR","PPP","TOT","NATUSD","A","1967",0.250387,
"GBR","PPP","TOT","NATUSD","A","1968",0.248822,
"GBR","PPP","TOT","NATUSD","A","1969",0.249482,
"GBR","PPP","TOT","NATUSD","A","1970",0.268738,
"GBR","PPP","TOT","NATUSD","A","1971",0.276198,
"GBR","PPP","TOT","NATUSD","A","1972",0.283784,
"GBR","PPP","TOT","NATUSD","A","1973",0.291681,
"GBR","PPP","TOT","NATUSD","A","1974",0.307899,
"GBR","PPP","TOT","NATUSD","A","1975",0.354418,
"GBR","PPP","TOT","NATUSD","A","1976",0.386702,
"GBR","PPP","TOT","NATUSD","A","1977",0.413997,
"GBR","PPP","TOT","NATUSD","A","1978",0.431108,
"GBR","PPP","TOT","NATUSD","A","1979",0.454077,
"GBR","PPP","TOT","NATUSD","A","1980",0.498516,
"GBR","PPP","TOT","NATUSD","A","1981",0.508112,
"GBR","PPP","TOT","NATUSD","A","1982",0.514049,
"GBR","PPP","TOT","NATUSD","A","1983",0.520014,
"GBR","PPP","TOT","NATUSD","A","1984",0.527153,
"GBR","PPP","TOT","NATUSD","A","1985",0.539158,
"GBR","PPP","TOT","NATUSD","A","1986",0.551427,
"GBR","PPP","TOT","NATUSD","A","1987",0.567397,
"GBR","PPP","TOT","NATUSD","A","1988",0.581678,
"GBR","PPP","TOT","NATUSD","A","1989",0.604154,
"GBR","PPP","TOT","NATUSD","A","1990",0.628281,
"GBR","PPP","TOT","NATUSD","A","1991",0.64674,
"GBR","PPP","TOT","NATUSD","A","1992",0.653329,
"GBR","PPP","TOT","NATUSD","A","1993",0.655644,
"GBR","PPP","TOT","NATUSD","A","1994",0.650882,
"GBR","PPP","TOT","NATUSD","A","1995",0.712859,
"GBR","PPP","TOT","NATUSD","A","1996",0.712844,
"GBR","PPP","TOT","NATUSD","A","1997",0.708658,
"GBR","PPP","TOT","NATUSD","A","1998",0.72068,
"GBR","PPP","TOT","NATUSD","A","1999",0.725819,
"GBR","PPP","TOT","NATUSD","A","2000",0.704515,
"GBR","PPP","TOT","NATUSD","A","2001",0.694573,
"GBR","PPP","TOT","NATUSD","A","2002",0.689877,
"GBR","PPP","TOT","NATUSD","A","2003",0.695848,
"GBR","PPP","TOT","NATUSD","A","2004",0.687836,
"GBR","PPP","TOT","NATUSD","A","2005",0.707619,
"GBR","PPP","TOT","NATUSD","A","2006",0.696589,
"GBR","PPP","TOT","NATUSD","A","2007",0.70916,
"GBR","PPP","TOT","NATUSD","A","2008",0.701691,
"GBR","PPP","TOT","NATUSD","A","2009",0.710035,
"GBR","PPP","TOT","NATUSD","A","2010",0.702253,
"GBR","PPP","TOT","NATUSD","A","2011",0.706052,
"GBR","PPP","TOT","NATUSD","A","2012",0.701634,
"GBR","PPP","TOT","NATUSD","A","2013",0.695248,
"GBR","PPP","TOT","NATUSD","A","2014",0.698444,
"GBR","PPP","TOT","NATUSD","A","2015",0.692551,
"GBR","PPP","TOT","NATUSD","A","2016",0.688603,
"GBR","PPP","TOT","NATUSD","A","2017",0.684601,
"GBR","PPP","TOT","NATUSD","A","2018",0.687714,
"GBR","PPP","TOT","NATUSD","A","2019",0.679469,
"GBR","PPP","TOT","NATUSD","A","2020",0.685633,
"GBR","PPP","TOT","NATUSD","A","2021",0.677336,
"USA","PPP","TOT","NATUSD","A","1960",1,
"USA","PPP","TOT","NATUSD","A","1961",1,
"USA","PPP","TOT","NATUSD","A","1962",1,
"USA","PPP","TOT","NATUSD","A","1963",1,
"USA","PPP","TOT","NATUSD","A","1964",1,
"USA","PPP","TOT","NATUSD","A","1965",1,
"USA","PPP","TOT","NATUSD","A","1966",1,
"USA","PPP","TOT","NATUSD","A","1967",1,
"USA","PPP","TOT","NATUSD","A","1968",1,
"USA","PPP","TOT","NATUSD","A","1969",1,
"USA","PPP","TOT","NATUSD","A","1970",1,
"USA","PPP","TOT","NATUSD","A","1971",1,
"USA","PPP","TOT","NATUSD","A","1972",1,
"USA","PPP","TOT","NATUSD","A","1973",1,
"USA","PPP","TOT","NATUSD","A","1974",1,
"USA","PPP","TOT","NATUSD","A","1975",1,
"USA","PPP","TOT","NATUSD","A","1976",1,
"USA","PPP","TOT","NATUSD","A","1977",1,
"USA","PPP","TOT","NATUSD","A","1978",1,
"USA","PPP","TOT","NATUSD","A","1979",1,
"USA","PPP","TOT","NATUSD","A","1980",1,
"USA","PPP","TOT","NATUSD","A","1981",1,
"USA","PPP","TOT","NATUSD","A","1982",1,
"USA","PPP","TOT","NATUSD","A","1983",1,
"USA","PPP","TOT","NATUSD","A","1984",1,
"USA","PPP","TOT","NATUSD","A","1985",1,
"USA","PPP","TOT","NATUSD","A","1986",1,
"USA","PPP","TOT","NATUSD","A","1987",1,
"USA","PPP","TOT","NATUSD","A","1988",1,
"USA","PPP","TOT","NATUSD","A","1989",1,
"USA","PPP","TOT","NATUSD","A","1990",1,
"USA","PPP","TOT","NATUSD","A","1991",1,
"USA","PPP","TOT","NATUSD","A","1992",1,
"USA","PPP","TOT","NATUSD","A","1993",1,
"USA","PPP","TOT","NATUSD","A","1994",1,
"USA","PPP","TOT","NATUSD","A","1995",1,
"USA","PPP","TOT","NATUSD","A","1996",1,
"USA","PPP","TOT","NATUSD","A","1997",1,
"USA","PPP","TOT","NATUSD","A","1998",1,
"USA","PPP","TOT","NATUSD","A","1999",1,
"USA","PPP","TOT","NATUSD","A","2000",1,
"USA","PPP","TOT","NATUSD","A","2001",1,
"USA","PPP","TOT","NATUSD","A","2002",1,
"USA","PPP","TOT","NATUSD","A","2003",1,
"USA","PPP","TOT","NATUSD","A","2004",1,
"USA","PPP","TOT","NATUSD","A","2005",1,
"USA","PPP","TOT","NATUSD","A","2006",1,
"USA","PPP","TOT","NATUSD","A","2007",1,
"USA","PPP","TOT","NATUSD","A","2008",1,
"USA","PPP","TOT","NATUSD","A","2009",1,
"USA","PPP","TOT","NATUSD","A","2010",1,
"USA","PPP","TOT","NATUSD","A","2011",1,
"USA","PPP","TOT","NATUSD","A","2012",1,
"USA","PPP","TOT","NATUSD","A","2013",1,
"USA","PPP","TOT","NATUSD","A","2014",1,
"USA","PPP","TOT","NATUSD","A","2015",1,
"USA","PPP","TOT","NATUSD","A","2016",1,
"USA","PPP","TOT","NATUSD","A","2017",1,
"USA","PPP","TOT","NATUSD","A","2018",1,
"USA","PPP","TOT","NATUSD","A","2019",1,
"USA","PPP","TOT","NATUSD","A","2020",1,
"USA","PPP","TOT","NATUSD","A","2021",1,
"BRA","PPP","TOT","NATUSD","A","1990",0.000012,
"BRA","PPP","TOT","NATUSD","A","1991",0.000058,
"BRA","PPP","TOT","NATUSD","A","1992",0.000605,
"BRA","PPP","TOT","NATUSD","A","1993",0.012385,
"BRA","PPP","TOT","NATUSD","A","1994",0.283775,
"BRA","PPP","TOT","NATUSD","A","1995",0.539155,
"BRA","PPP","TOT","NATUSD","A","1996",0.62718,
"BRA","PPP","TOT","NATUSD","A","1997",0.664201,
"BRA","PPP","TOT","NATUSD","A","1998",0.689152,
"BRA","PPP","TOT","NATUSD","A","1999",0.734012,
"BRA","PPP","TOT","NATUSD","A","2000",0.757989,
"BRA","PPP","TOT","NATUSD","A","2001",0.80226,
"BRA","PPP","TOT","NATUSD","A","2002",0.867348,
"BRA","PPP","TOT","NATUSD","A","2003",0.970414,
"BRA","PPP","TOT","NATUSD","A","2004",1.018306,
"BRA","PPP","TOT","NATUSD","A","2005",1.060716,
"BRA","PPP","TOT","NATUSD","A","2006",1.098672,
"BRA","PPP","TOT","NATUSD","A","2007",1.138643,
"BRA","PPP","TOT","NATUSD","A","2008",1.215291,
"BRA","PPP","TOT","NATUSD","A","2009",1.295865,
"BRA","PPP","TOT","NATUSD","A","2010",1.388336,
"BRA","PPP","TOT","NATUSD","A","2011",1.473216,
"BRA","PPP","TOT","NATUSD","A","2012",1.605704,
"BRA","PPP","TOT","NATUSD","A","2013",1.701276,
"BRA","PPP","TOT","NATUSD","A","2014",1.813201,
"BRA","PPP","TOT","NATUSD","A","2015",1.988814,
"BRA","PPP","TOT","NATUSD","A","2016",2.133082,
"BRA","PPP","TOT","NATUSD","A","2017",2.181557,
"BRA","PPP","TOT","NATUSD","A","2018",2.226397,
"BRA","PPP","TOT","NATUSD","A","2019",2.279669,
"BRA","PPP","TOT","NATUSD","A","2020",2.368305,
"BRA","PPP","TOT","NATUSD","A","2021",2.526131,
"CHL","PPP","TOT","NATUSD","A","1986",94.599807,
"CHL","PPP","TOT","NATUSD","A","1987",115.008813,
"CHL","PPP","TOT","NATUSD","A","1988",134.923431,
"CHL","PPP","TOT","NATUSD","A","1989",145.924889,
"CHL","PPP","TOT","NATUSD","A","1990",170.538934,
"CHL","PPP","TOT","NATUSD","A","1991",199.962586,
"CHL","PPP","TOT","NATUSD","A","1992",218.52081,
"CHL","PPP","TOT","NATUSD","A","1993",236.17298,
"CHL","PPP","TOT","NATUSD","A","1994",260.372203,
"CHL","PPP","TOT","NATUSD","A","1995",278.801543,
"CHL","PPP","TOT","NATUSD","A","1996",278.461091,
"CHL","PPP","TOT","NATUSD","A","1997",282.85792,
"CHL","PPP","TOT","NATUSD","A","1998",281.888516,
"CHL","PPP","TOT","NATUSD","A","1999",284.052706,
"CHL","PPP","TOT","NATUSD","A","2000",290.425639,
"CHL","PPP","TOT","NATUSD","A","2001",296.17501,
"CHL","PPP","TOT","NATUSD","A","2002",301.372385,
"CHL","PPP","TOT","NATUSD","A","2003",308.248357,
"CHL","PPP","TOT","NATUSD","A","2004",321.277791,
"CHL","PPP","TOT","NATUSD","A","2005",333.69,
"CHL","PPP","TOT","NATUSD","A","2006",318.574722,
"CHL","PPP","TOT","NATUSD","A","2007",323.878962,
"CHL","PPP","TOT","NATUSD","A","2008",340.400833,
"CHL","PPP","TOT","NATUSD","A","2009",354.325885,
"CHL","PPP","TOT","NATUSD","A","2010",359.83702,
"CHL","PPP","TOT","NATUSD","A","2011",348.016847,
"CHL","PPP","TOT","NATUSD","A","2012",347.228507,
"CHL","PPP","TOT","NATUSD","A","2013",349.680536,
"CHL","PPP","TOT","NATUSD","A","2014",367.213907,
"CHL","PPP","TOT","NATUSD","A","2015",391.178861,
"CHL","PPP","TOT","NATUSD","A","2016",397.250703,
"CHL","PPP","TOT","NATUSD","A","2017",397.689401,
"CHL","PPP","TOT","NATUSD","A","2018",396.229413,
"CHL","PPP","TOT","NATUSD","A","2019",401.613866,
"CHL","PPP","TOT","NATUSD","A","2020",418.420066,
"CHL","PPP","TOT","NATUSD","A","2021",435.093233,
"CHN","PPP","TOT","NATUSD","A","1970",2.668241,
"CHN","PPP","TOT","NATUSD","A","1971",2.556047,
"CHN","PPP","TOT","NATUSD","A","1972",2.451562,
"CHN","PPP","TOT","NATUSD","A","1973",2.328757,
"CHN","PPP","TOT","NATUSD","A","1974",2.1419,
"CHN","PPP","TOT","NATUSD","A","1975",1.938427,
"CHN","PPP","TOT","NATUSD","A","1976",1.835178,
"CHN","PPP","TOT","NATUSD","A","1977",1.746625,
"CHN","PPP","TOT","NATUSD","A","1978",1.654163,
"CHN","PPP","TOT","NATUSD","A","1979",1.582425,
"CHN","PPP","TOT","NATUSD","A","1980",1.505786,
"CHN","PPP","TOT","NATUSD","A","1981",1.408056,
"CHN","PPP","TOT","NATUSD","A","1982",1.324266,
"CHN","PPP","TOT","NATUSD","A","1983",1.289093,
"CHN","PPP","TOT","NATUSD","A","1984",1.305713,
"CHN","PPP","TOT","NATUSD","A","1985",1.394914,
"CHN","PPP","TOT","NATUSD","A","1986",1.43123,
"CHN","PPP","TOT","NATUSD","A","1987",1.46767,
"CHN","PPP","TOT","NATUSD","A","1988",1.58932,
"CHN","PPP","TOT","NATUSD","A","1989",1.660909,
"CHN","PPP","TOT","NATUSD","A","1990",1.694013,
"CHN","PPP","TOT","NATUSD","A","1991",1.748624,
"CHN","PPP","TOT","NATUSD","A","1992",1.849689,
"CHN","PPP","TOT","NATUSD","A","1993",2.081248,
"CHN","PPP","TOT","NATUSD","A","1994",2.457853,
"CHN","PPP","TOT","NATUSD","A","1995",2.736357,
"CHN","PPP","TOT","NATUSD","A","1996",2.862002,
"CHN","PPP","TOT","NATUSD","A","1997",2.858967,
"CHN","PPP","TOT","NATUSD","A","1998",2.801695,
"CHN","PPP","TOT","NATUSD","A","1999",2.727866,
"CHN","PPP","TOT","NATUSD","A","2000",2.722458,
"CHN","PPP","TOT","NATUSD","A","2001",2.716976,
"CHN","PPP","TOT","NATUSD","A","2002",2.691388,
"CHN","PPP","TOT","NATUSD","A","2003",2.708005,
"CHN","PPP","TOT","NATUSD","A","2004",2.82055,
"CHN","PPP","TOT","NATUSD","A","2005",2.841551,
"CHN","PPP","TOT","NATUSD","A","2006",2.864732,
"CHN","PPP","TOT","NATUSD","A","2007",3.005515,
"CHN","PPP","TOT","NATUSD","A","2008",3.178837,
"CHN","PPP","TOT","NATUSD","A","2009",3.151974,
"CHN","PPP","TOT","NATUSD","A","2010",3.328867,
"CHN","PPP","TOT","NATUSD","A","2011",3.524468,
"CHN","PPP","TOT","NATUSD","A","2012",3.560968,
"CHN","PPP","TOT","NATUSD","A","2013",3.663645,
"CHN","PPP","TOT","NATUSD","A","2014",3.75885,
"CHN","PPP","TOT","NATUSD","A","2015",3.870697,
"CHN","PPP","TOT","NATUSD","A","2016",3.988837,
"CHN","PPP","TOT","NATUSD","A","2017",4.183811,
"CHN","PPP","TOT","NATUSD","A","2018",4.229198,
"CHN","PPP","TOT","NATUSD","A","2019",4.20834,
"CHN","PPP","TOT","NATUSD","A","2020",4.178659,
"CHN","PPP","TOT","NATUSD","A","2021",4.187342,
"COL","PPP","TOT","NATUSD","A","1975",12.2274,
"COL","PPP","TOT","NATUSD","A","1976",14.641665,
"COL","PPP","TOT","NATUSD","A","1977",17.928863,
"COL","PPP","TOT","NATUSD","A","1978",19.753489,
"COL","PPP","TOT","NATUSD","A","1979",22.783081,
"COL","PPP","TOT","NATUSD","A","1980",26.842747,
"COL","PPP","TOT","NATUSD","A","1981",30.319032,
"COL","PPP","TOT","NATUSD","A","1982",35.876317,
"COL","PPP","TOT","NATUSD","A","1983",41.854905,
"COL","PPP","TOT","NATUSD","A","1984",49.705013,
"COL","PPP","TOT","NATUSD","A","1985",60.599062,
"COL","PPP","TOT","NATUSD","A","1986",77.296983,
"COL","PPP","TOT","NATUSD","A","1987",93.719844,
"COL","PPP","TOT","NATUSD","A","1988",116.417231,
"COL","PPP","TOT","NATUSD","A","1989",140.635534,
"COL","PPP","TOT","NATUSD","A","1990",137.334953,
"COL","PPP","TOT","NATUSD","A","1991",168.679453,
"COL","PPP","TOT","NATUSD","A","1992",203.818544,
"COL","PPP","TOT","NATUSD","A","1993",248.512945,
"COL","PPP","TOT","NATUSD","A","1994",308.382512,
"COL","PPP","TOT","NATUSD","A","1995",368.204539,
"COL","PPP","TOT","NATUSD","A","1996",432.881756,
"COL","PPP","TOT","NATUSD","A","1997",508.11811,
"COL","PPP","TOT","NATUSD","A","1998",588.528522,
"COL","PPP","TOT","NATUSD","A","1999",667.754506,
"COL","PPP","TOT","NATUSD","A","2000",743.254866,
"COL","PPP","TOT","NATUSD","A","2001",779.778986,
"COL","PPP","TOT","NATUSD","A","2002",819.642123,
"COL","PPP","TOT","NATUSD","A","2003",878.84745,
"COL","PPP","TOT","NATUSD","A","2004",922.900219,
"COL","PPP","TOT","NATUSD","A","2005",961.019959,
"COL","PPP","TOT","NATUSD","A","2006",986.396773,
"COL","PPP","TOT","NATUSD","A","2007",1010.402682,
"COL","PPP","TOT","NATUSD","A","2008",1067.501015,
"COL","PPP","TOT","NATUSD","A","2009",1103.811854,
"COL","PPP","TOT","NATUSD","A","2010",1132.203391,
"COL","PPP","TOT","NATUSD","A","2011",1179.998238,
"COL","PPP","TOT","NATUSD","A","2012",1215.696024,
"COL","PPP","TOT","NATUSD","A","2013",1218.821028,
"COL","PPP","TOT","NATUSD","A","2014",1232.8894,
"COL","PPP","TOT","NATUSD","A","2015",1289.323671,
"COL","PPP","TOT","NATUSD","A","2016",1298.142605,
"COL","PPP","TOT","NATUSD","A","2017",1328.016627,
"COL","PPP","TOT","NATUSD","A","2018",1322.160543,
"COL","PPP","TOT","NATUSD","A","2019",1330.757397,
"COL","PPP","TOT","NATUSD","A","2020",1295.42937,
"COL","PPP","TOT","NATUSD","A","2021",1351.849425,
"EST","PPP","TOT","NATUSD","A","1993",0.174575,
"EST","PPP","TOT","NATUSD","A","1994",0.23873,
"EST","PPP","TOT","NATUSD","A","1995",0.307385,
"EST","PPP","TOT","NATUSD","A","1996",0.377198,
"EST","PPP","TOT","NATUSD","A","1997",0.409486,
"EST","PPP","TOT","NATUSD","A","1998",0.4354,
"EST","PPP","TOT","NATUSD","A","1999",0.462332,
"EST","PPP","TOT","NATUSD","A","2000",0.468856,
"EST","PPP","TOT","NATUSD","A","2001",0.487936,
"EST","PPP","TOT","NATUSD","A","2002",0.486245,
"EST","PPP","TOT","NATUSD","A","2003",0.485752,
"EST","PPP","TOT","NATUSD","A","2004",0.493647,
"EST","PPP","TOT","NATUSD","A","2005",0.503328,
"EST","PPP","TOT","NATUSD","A","2006",0.520867,
"EST","PPP","TOT","NATUSD","A","2007",0.551121,
"EST","PPP","TOT","NATUSD","A","2008",0.545055,
"EST","PPP","TOT","NATUSD","A","2009",0.517092,
"EST","PPP","TOT","NATUSD","A","2010",0.512104,
"EST","PPP","TOT","NATUSD","A","2011",0.5116,
"EST","PPP","TOT","NATUSD","A","2012",0.521063,
"EST","PPP","TOT","NATUSD","A","2013",0.522424,
"EST","PPP","TOT","NATUSD","A","2014",0.52689,
"EST","PPP","TOT","NATUSD","A","2015",0.53758,
"EST","PPP","TOT","NATUSD","A","2016",0.527849,
"EST","PPP","TOT","NATUSD","A","2017",0.534908,
"EST","PPP","TOT","NATUSD","A","2018",0.538757,
"EST","PPP","TOT","NATUSD","A","2019",0.53643,
"EST","PPP","TOT","NATUSD","A","2020",0.523804,
"EST","PPP","TOT","NATUSD","A","2021",0.543559,
